oracle_campaign,concentration_level,review_flag,note
US cage-free corporate campaign (2015-2016),Highly concentrated,CHANGED (was Moderately),"Web-verified: McDonald's (Sept 2015, largest US egg buyer) was the critical first domino; cascade followed to 200+ companies (Open Philanthropy). Decisive leverage concentrated in a few dominant first-movers. Caveat: ~200 companies each committed, but power sat with the pivotal buyers."
Better Chicken Commitment Europe (2017–2026),Diffuse,clear,"Evidence: 394+ independent commitments, no collective decision body; each firm decides alone."
SeaWorld/Anti-captivity post-Blackfish (2013-2016),Highly concentrated,clear,Evidence: single corporate board + 11-1 Coastal Commission; few named decision-makers.
Mexico constitutional animal protection reform (2021-2024),Highly concentrated,clear,"Evidence: ""small, defined set of institutional veto points"" (Deputies, Senate, state congresses)."
Sinergia Animal Global South cage-free corporate campaign (2018–present),Diffuse,clear,Evidence: pig sector concentrated (JBS/BRF) but egg sector fragmented across many retailers; spread dominates. You confirmed Diffuse.
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),Highly concentrated,clear,"Evidence: ministerial (Defra) + devolved consent; ""small number of concentrated decision-makers""."
New Zealand live export ban (2019–2026),Highly concentrated,clear,Evidence: Cabinet made the decisive call in a single announcement.
UK foie gras import ban campaign (2021–present),Highly concentrated,clear,"Evidence: decisions rest with Defra ministers / cabinet, no parliamentary vote."
Australian marriage equality postal survey (2017),Diffuse,CHANGED (was Moderately),"Evidence: survey non-binding, ""no single decision-maker""; 79.5% participation externalised the effective decision to millions of voters. You called it Diffuse — agreed."
Australian plain packaging tobacco (2010-2012),Highly concentrated,clear,"Evidence: ""small executive core requiring negotiated parliamentary support""."
#MeToo / workplace harassment norm shift (2017+),Diffuse,clear,Evidence: harm/behaviour change across countless individual workplaces; legislative fix a minor secondary strand.
Leaded petrol global phase-out (2002-2021),Moderately concentrated,clear,Evidence: national/sub-regional governments plus a limited number of fuel/additive producers.
Rana Plaza / Bangladesh Accord origin (2013-2018),Highly concentrated,CHANGED (was Moderately),"Evidence: a SEVEN-member Steering Committee held binding authority for the whole programme; individual factories had no decision role. The ""few hundred buyers"" signed on but did not decide. You called it Highly — agreed; evidence beats the label."
Black Lives Matter — policing reform (2020-present),Diffuse,clear,"Evidence: dozens of separate state houses + city councils; ""genuinely diffuse, multi-jurisdiction""."
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",Highly concentrated,clear,"Evidence: single Secretary of State, no parliamentary bill required."
Every Australian Counts NDIS campaign (2011–2013),Highly concentrated,clear,Evidence: Cabinet + both Houses + COAG among a small number of first ministers — concentrated institutional set.
Australian mandatory detention campaign (1992–present),Highly concentrated,clear,Evidence: executive concentrated in Howard/Ruddock; absolute Senate control from 2005.
#EndSARS Nigeria police brutality,Moderately concentrated,clear,Evidence: disbandment concentrated (IGP + President) but the five-point reform spans multiple oversight bodies.
Brazil MST — narrative reframe around organic food (2010s–present),Diffuse,CHANGED (was Moderately),Evidence: mass urban cultural shift requiring millions of consumers is the primary structure (mechanism = cultural shift); concentrated government target is secondary. You called it Diffuse — agreed.
Greenpeace Detox My Fashion campaign (2011–2021),Diffuse,CHANGED (was Moderately),Evidence: 80+ brands accumulated SEQUENTIALLY as discrete decisions with no cascade — many independent wins required. You called it Diffuse — agreed.
