oracle_campaign,rank,enabler_name,status,source_field,source_quote,non_obvious,note
US cage-free corporate campaign (2015-2016),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,California's Prop 2 (2008) and AB 1437 (2010) created a legal precedent that the campaign cited but did not directly rely on,no,"DIRECTION: record states explicitly the precedent was cited but NOT relied on. Federal UEP-HSUS deal collapsed 2014, which forced the corporate pivot - a blocker, not an enabler."
US cage-free corporate campaign (2015-2016),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","a small cluster of animal welfare orgs (HSUS, THL, MFA, CIWF) operating with deliberate single-issue focus and sector-by-sector coordination",no,"Narrow, single-sector. Record notes 'no broad cross-sector coalition of the kind seen in other cases'."
US cage-free corporate campaign (2015-2016),3,institutional_political_backing,relied_on,List B — Coalition size/type/non-obvious allies,#4 (SEC filing) documents HSUS as a formal shareholder-engagement actor,no,"NEW FROM LIST B. Absent from the oracle cell. Formal shareholder engagement is an institutional lever, not merely coalition membership."
US cage-free corporate campaign (2015-2016),4,financial_resources,relied_on,"Coalition size, type, and presence of non-obvious allies",Open Philanthropy Project as a non-obvious financial ally,no,"FIGURE REMOVED FROM QUOTE - it was wrong in both sources. Locked Source 3 (Bollard, Open Philanthropy 2017) states ""$3M in grants... split between four groups"": THL, MFA, HSUS FAPC, CIWF USA. TIMING CAVEAT: Bollard dates the grants to the start of 2016; McDonald's pledged Sept 2015, and he writes that much of the success may have been inevitable once the early pledges, which preceded the funding, were achieved. Arguably this scaled a campaign that had already turned, so consider not_relied_on."
US cage-free corporate campaign (2015-2016),5,expert_technical_validation,not_relied_on,Strength of opposition,,no,No supportive expert body. The only study named is the OPPOSITION's: UEP 'funded a 2015 industry study to undermine the cage-free case'.
US cage-free corporate campaign (2015-2016),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies",Open Philanthropy Project as a non-obvious financial ally providing $2.5M across three orgs to fund the campaign,yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
Better Chicken Commitment Europe (2017–2026),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"EU Council Directive 2007/43/EC sets a lower floor (42kg/m²) that ECC voluntarily exceeds (30kg/m²); landscape opening via EFSA 2023 opinion, EU Commission legal complaint acknowledgment (2023), and UK judicial review (dismissed on relief sought, not merits)",no,"Weakly enabling: no binding standard at ECC level at campaign start. The directive is a floor the campaign exceeds voluntarily, not a lever."
Better Chicken Commitment Europe (2017–2026),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","Broad, international. 95-organisation Open Wing Alliance",no,International breadth retained deliberately - this is the qualifier that matters when comparing against a small national campaign.
Better Chicken Commitment Europe (2017–2026),3,institutional_political_backing,relied_on,"List B — Coalition size, type, and presence of non-obvious allies",Source 11 (OWA Progress Report 2025) identifies producer Norsk Kylling and Germany’s Haltungsform national certification scheme as non-obvious allies providing implementation infrastructure,yes,"RESTORED. Lost when non_obvious_allies stopped being scored. A national certification scheme providing implementation infrastructure is institutional backing, and a producer inside the target sector is the structurally notable part."
Better Chicken Commitment Europe (2017–2026),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder or financial resource named anywhere in the record.
